{'model_config': {'embedding_size': 50, 'hidden_layers': [100, 50], 'dropout_rate': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05}, 'training_config': {'batch_size': 64, 'num_epochs': 25}, 'data_config': {'train_path': '../data/ml-100k/u1.base', 'test_path': '../data/ml-100k/u1.test'}}
Epoch 1/25, Train Loss: 5.662718361186982, Eval Loss: 3.1719166692643883, RMSE: 1.7553630271132035
Epoch 2/25, Train Loss: 1.1691026427745819, Eval Loss: 1.980485628492916, RMSE: 1.3944109337938786
Epoch 3/25, Train Loss: 0.9606161991596222, Eval Loss: 1.7175270550357649, RMSE: 1.2996742525209604
Epoch 4/25, Train Loss: 0.9210461074590683, Eval Loss: 1.6186373671784569, RMSE: 1.2621952519521304
Epoch 5/25, Train Loss: 0.9073024468183517, Eval Loss: 1.5996109548087318, RMSE: 1.2544496955005513
Epoch 6/25, Train Loss: 0.8998278272867203, Eval Loss: 1.5763211947279616, RMSE: 1.2447329590763623
Epoch 7/25, Train Loss: 0.896032065486908, Eval Loss: 1.5877471687123417, RMSE: 1.2494446690202574
Epoch 8/25, Train Loss: 0.8913245832204819, Eval Loss: 1.602960260721822, RMSE: 1.255956878905112
Epoch 9/25, Train Loss: 0.8874977482557297, Eval Loss: 1.579077132117634, RMSE: 1.2461803562704266
Epoch 10/25, Train Loss: 0.8818575864076614, Eval Loss: 1.5756916045761717, RMSE: 1.2447845026029996
Epoch 11/25, Train Loss: 0.8719096470832824, Eval Loss: 1.5763666769757438, RMSE: 1.2449859516731547
Epoch 12/25, Train Loss: 0.8563180099248886, Eval Loss: 1.5648832452563812, RMSE: 1.2401482249814937
Epoch 13/25, Train Loss: 0.834823581624031, Eval Loss: 1.572611611300764, RMSE: 1.2435438614201382
Epoch 14/25, Train Loss: 0.8028618005037308, Eval Loss: 1.5972907876435178, RMSE: 1.2536366770288891
Epoch 15/25, Train Loss: 0.762916318845749, Eval Loss: 1.5888273570293816, RMSE: 1.2495047281688465
Epoch 16/25, Train Loss: 0.7181810732841492, Eval Loss: 1.6104332240054402, RMSE: 1.258112243804398
Epoch 17/25, Train Loss: 0.6699767663002014, Eval Loss: 1.6335469138698455, RMSE: 1.2670286598383989
Epoch 18/25, Train Loss: 0.6202714679718018, Eval Loss: 1.643739987581302, RMSE: 1.2710118926910494
Epoch 19/25, Train Loss: 0.5724834143161773, Eval Loss: 1.6680714773674743, RMSE: 1.2801872283281799
Epoch 20/25, Train Loss: 0.5267388956904411, Eval Loss: 1.6840876301827903, RMSE: 1.285851344454544
Epoch 21/25, Train Loss: 0.48458329805135725, Eval Loss: 1.6989400184954317, RMSE: 1.2918978206321776
Epoch 22/25, Train Loss: 0.4480531940937042, Eval Loss: 1.7103509821069127, RMSE: 1.2962985492814687
Epoch 23/25, Train Loss: 0.4153136788845062, Eval Loss: 1.7294464256055058, RMSE: 1.303422577635197
Epoch 24/25, Train Loss: 0.38683027074337006, Eval Loss: 1.7566709566040162, RMSE: 1.3136370029747935
Epoch 25/25, Train Loss: 0.36229547250270844, Eval Loss: 1.7590425216351835, RMSE: 1.3141834818495481
Minimum RMSE:1.2401482249814937
