{'model_config': {'embedding_size': 50, 'hidden_layers': [100, 50], 'dropout_rate': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05}, 'training_config': {'batch_size': 64, 'num_epochs': 25}, 'data_config': {'train_path': '../data/ml-100k/u1.base', 'test_path': '../data/ml-100k/u1.test'}}
Epoch 1/25,	 Train Loss: 1.60633796479702,	 Eval Loss: 1.4491529569458277,	 RMSE: 1.193374660147675
Epoch 2/25,	 Train Loss: 0.8856676458358764,	 Eval Loss: 1.479328308813869,	 RMSE: 1.2034113049118786
Epoch 3/25,	 Train Loss: 0.8562451502799988,	 Eval Loss: 1.5229094639753762,	 RMSE: 1.219273072887199
Epoch 4/25,	 Train Loss: 0.836897621846199,	 Eval Loss: 1.5384419211945213,	 RMSE: 1.224845576252299
Epoch 5/25,	 Train Loss: 0.816975695180893,	 Eval Loss: 1.573684383981144,	 RMSE: 1.24046503967092
Epoch 6/25,	 Train Loss: 0.7947777365207672,	 Eval Loss: 1.5945303374395583,	 RMSE: 1.24831765078623
Epoch 7/25,	 Train Loss: 0.7740889051198959,	 Eval Loss: 1.5490527859511085,	 RMSE: 1.2298046656794683
Epoch 8/25,	 Train Loss: 0.7586885552883148,	 Eval Loss: 1.6102934148364936,	 RMSE: 1.254050945018432
Epoch 9/25,	 Train Loss: 0.7443806045770646,	 Eval Loss: 1.60501400597941,	 RMSE: 1.2517076222964418
Epoch 10/25,	 Train Loss: 0.7340224896669387,	 Eval Loss: 1.7189649398715352,	 RMSE: 1.2963266023342246
Epoch 11/25,	 Train Loss: 0.7240410279750824,	 Eval Loss: 1.6647142267074828,	 RMSE: 1.2747632148106451
Epoch 12/25,	 Train Loss: 0.7161819435596466,	 Eval Loss: 1.6858057072177863,	 RMSE: 1.282724664488647
Epoch 13/25,	 Train Loss: 0.7059780590772629,	 Eval Loss: 1.7314322693660236,	 RMSE: 1.3008761048583912
Epoch 14/25,	 Train Loss: 0.6961221962690354,	 Eval Loss: 1.6878031654098926,	 RMSE: 1.284179183546436
Epoch 15/25,	 Train Loss: 0.6837218859910965,	 Eval Loss: 1.7313273747127278,	 RMSE: 1.3012864666484731
Epoch 16/25,	 Train Loss: 0.6691810096979142,	 Eval Loss: 1.6905579629797525,	 RMSE: 1.285284255537238
Epoch 17/25,	 Train Loss: 0.6553532434940338,	 Eval Loss: 1.6896452836144846,	 RMSE: 1.2839548052609726
Epoch 18/25,	 Train Loss: 0.6439480042695999,	 Eval Loss: 1.7813482356909365,	 RMSE: 1.3200367509495141
Epoch 19/25,	 Train Loss: 0.6312392268657684,	 Eval Loss: 1.7979323264128102,	 RMSE: 1.325824888488914
Epoch 20/25,	 Train Loss: 0.6185322129249573,	 Eval Loss: 1.7502728321681769,	 RMSE: 1.3077018962331575
Epoch 21/25,	 Train Loss: 0.6062801350831986,	 Eval Loss: 1.8194686911357478,	 RMSE: 1.333502247690968
Epoch 22/25,	 Train Loss: 0.5901904289007187,	 Eval Loss: 1.833414271426277,	 RMSE: 1.3389683641889192
Epoch 23/25,	 Train Loss: 0.5721063770055771,	 Eval Loss: 1.8094423272358342,	 RMSE: 1.3298165732908525
Epoch 24/25,	 Train Loss: 0.5567254535675049,	 Eval Loss: 1.8978459970257915,	 RMSE: 1.3627151180807502
Epoch 25/25,	 Train Loss: 0.5433419288635254,	 Eval Loss: 1.8741613270375674,	 RMSE: 1.3538032154321258
Minimum RMSE:1.193374660147675
