{'model_config': {'embedding_size': 50, 'hidden_layers': [100, 50], 'dropout_rate': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05}, 'training_config': {'batch_size': 64, 'num_epochs': 25}, 'data_config': {'train_path': '../data/ml-100k/u1.base', 'test_path': '../data/ml-100k/u1.test'}}
------------------------------------------
user_embeddings.weight: 188600 B
item_embeddings.weight: 330000 B
user_linear.weight: 10000 B
item_linear.weight: 10000 B
------------------------------------------
Total trainable parameters: 0.5136 MB 
Epoch 1/25,	 Train Loss: 1.083894826221466,	 Eval Loss: 1.4156812259945244,	 RMSE: 1.177553046135325
Epoch 2/25,	 Train Loss: 1.008238112258911,	 Eval Loss: 1.4363698209055697,	 RMSE: 1.1860593120204306
Epoch 3/25,	 Train Loss: 0.995329203414917,	 Eval Loss: 1.4071408232180074,	 RMSE: 1.1740848496010157
Epoch 4/25,	 Train Loss: 0.9882960723400116,	 Eval Loss: 1.3901733150497413,	 RMSE: 1.1663387347607566
Epoch 5/25,	 Train Loss: 0.979859192943573,	 Eval Loss: 1.4003201658352495,	 RMSE: 1.170304884831785
Epoch 6/25,	 Train Loss: 0.9750977352619171,	 Eval Loss: 1.3959147694011846,	 RMSE: 1.168153600660794
Epoch 7/25,	 Train Loss: 0.9683629857063294,	 Eval Loss: 1.3984878866817243,	 RMSE: 1.1693072335982986
Epoch 8/25,	 Train Loss: 0.9627927638530731,	 Eval Loss: 1.411392542119986,	 RMSE: 1.1746984458361944
Epoch 9/25,	 Train Loss: 0.954257779121399,	 Eval Loss: 1.4106644799534125,	 RMSE: 1.1741963091106762
Epoch 10/25,	 Train Loss: 0.9459977962493896,	 Eval Loss: 1.407632821093733,	 RMSE: 1.1732295362057104
Epoch 11/25,	 Train Loss: 0.9351738043785095,	 Eval Loss: 1.40058775698415,	 RMSE: 1.1700282821680394
Epoch 12/25,	 Train Loss: 0.9298642235040665,	 Eval Loss: 1.4217420250843888,	 RMSE: 1.1785205436542516
Epoch 13/25,	 Train Loss: 0.9243369223356247,	 Eval Loss: 1.4057372985556484,	 RMSE: 1.1720385931064967
Epoch 14/25,	 Train Loss: 0.9207300055980683,	 Eval Loss: 1.412526015846874,	 RMSE: 1.1746797712263124
Epoch 15/25,	 Train Loss: 0.9164539120197296,	 Eval Loss: 1.4215052266852162,	 RMSE: 1.1786101027648386
Epoch 16/25,	 Train Loss: 0.9126970644235611,	 Eval Loss: 1.419472352193948,	 RMSE: 1.1776425565252795
Epoch 17/25,	 Train Loss: 0.9106723342418671,	 Eval Loss: 1.4152007489539564,	 RMSE: 1.1760977659799954
Epoch 18/25,	 Train Loss: 0.9070120885848999,	 Eval Loss: 1.4103398547766688,	 RMSE: 1.174090593783285
Epoch 19/25,	 Train Loss: 0.9048020616054535,	 Eval Loss: 1.424545485752459,	 RMSE: 1.1798165142259047
Epoch 20/25,	 Train Loss: 0.9021907557249069,	 Eval Loss: 1.4167304768349036,	 RMSE: 1.1764720472553993
Epoch 21/25,	 Train Loss: 0.899162494802475,	 Eval Loss: 1.4197713268069794,	 RMSE: 1.1779996852014676
Epoch 22/25,	 Train Loss: 0.8982717443466186,	 Eval Loss: 1.4182692392946432,	 RMSE: 1.177145208095621
Epoch 23/25,	 Train Loss: 0.9009447387218475,	 Eval Loss: 1.417274006829856,	 RMSE: 1.1767898751006223
Epoch 24/25,	 Train Loss: 0.8971298529148102,	 Eval Loss: 1.4227653867520464,	 RMSE: 1.1790046456908307
Epoch 25/25,	 Train Loss: 0.8942487708091735,	 Eval Loss: 1.4273626141654798,	 RMSE: 1.1808369221905475
Minimum RMSE:1.1663387347607566
