{'model_config': {'embedding_size': 50, 'hidden_layers': [100, 50], 'dropout_rate': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05}, 'training_config': {'batch_size': 64, 'num_epochs': 25}, 'data_config': {'train_path': '../data/ml-100k/u1.base', 'test_path': '../data/ml-100k/u1.test'}}
------------------------------------------
user_embeddings.weight: 188600 B
item_embeddings.weight: 330000 B
user_linear.weight: 10000 B
user_linear.bias: 200 B
item_linear.weight: 10000 B
item_linear.bias: 200 B
------------------------------------------
Total trainable parameters: 0.5140 MB 
Epoch 1/25,	 Train Loss: 1.0579295703887939,	 Eval Loss: 1.3621152077620022,	 RMSE: 1.1543996228528983
Epoch 2/25,	 Train Loss: 0.9891594138145446,	 Eval Loss: 1.342697495660081,	 RMSE: 1.145466597460301
Epoch 3/25,	 Train Loss: 0.9755385343551636,	 Eval Loss: 1.3566816824312788,	 RMSE: 1.1516735628031292
Epoch 4/25,	 Train Loss: 0.9693107510566712,	 Eval Loss: 1.3579728561468398,	 RMSE: 1.152035100220907
Epoch 5/25,	 Train Loss: 0.9629814707279205,	 Eval Loss: 1.3766909984354012,	 RMSE: 1.1596270694230344
Epoch 6/25,	 Train Loss: 0.9559584161281586,	 Eval Loss: 1.3502887515976025,	 RMSE: 1.1482101297536802
Epoch 7/25,	 Train Loss: 0.9486657067060471,	 Eval Loss: 1.3790389055642076,	 RMSE: 1.1605299747192233
Epoch 8/25,	 Train Loss: 0.9437144783973694,	 Eval Loss: 1.372955517075694,	 RMSE: 1.157835428845139
Epoch 9/25,	 Train Loss: 0.940261937379837,	 Eval Loss: 1.3895466780891053,	 RMSE: 1.1651223583388783
Epoch 10/25,	 Train Loss: 0.935895310997963,	 Eval Loss: 1.4068880448706995,	 RMSE: 1.17214595920156
Epoch 11/25,	 Train Loss: 0.9328867691278457,	 Eval Loss: 1.3847670585583574,	 RMSE: 1.1629929224080606
Epoch 12/25,	 Train Loss: 0.9308770696878433,	 Eval Loss: 1.4036601056306126,	 RMSE: 1.170851748419728
Epoch 13/25,	 Train Loss: 0.9279655550956726,	 Eval Loss: 1.3931016314524811,	 RMSE: 1.166152322945724
Epoch 14/25,	 Train Loss: 0.9222605464458465,	 Eval Loss: 1.3929394616867408,	 RMSE: 1.166544075128248
Epoch 15/25,	 Train Loss: 0.9212268712043762,	 Eval Loss: 1.3823851520261063,	 RMSE: 1.1618246120661742
Epoch 16/25,	 Train Loss: 0.9205636754751205,	 Eval Loss: 1.4273991066807756,	 RMSE: 1.180754884083422
Epoch 17/25,	 Train Loss: 0.9196074091911316,	 Eval Loss: 1.416971330635083,	 RMSE: 1.1762803647855948
Epoch 18/25,	 Train Loss: 0.9161941028594971,	 Eval Loss: 1.4123086765551338,	 RMSE: 1.1744061636852454
Epoch 19/25,	 Train Loss: 0.9127392903804779,	 Eval Loss: 1.4132470844652707,	 RMSE: 1.174795167436616
Epoch 20/25,	 Train Loss: 0.9111053212404251,	 Eval Loss: 1.4040711438313078,	 RMSE: 1.1712249322886437
Epoch 21/25,	 Train Loss: 0.9099450145483017,	 Eval Loss: 1.4092490779706084,	 RMSE: 1.1729376647740621
Epoch 22/25,	 Train Loss: 0.9072341763019561,	 Eval Loss: 1.4157876530394387,	 RMSE: 1.1759161934450353
Epoch 23/25,	 Train Loss: 0.9051509449005127,	 Eval Loss: 1.4054139176496683,	 RMSE: 1.1716268841060842
Epoch 24/25,	 Train Loss: 0.9046594952821732,	 Eval Loss: 1.4023871151403116,	 RMSE: 1.1704031396222605
Epoch 25/25,	 Train Loss: 0.9005796462059021,	 Eval Loss: 1.412700031892941,	 RMSE: 1.1746045708466581
Minimum RMSE:1.145466597460301
