cuda
{'model_config': {'embedding_size': 50, 'hidden_layers': [100, 50], 'dropout_rate': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05}, 'training_config': {'batch_size': 64, 'num_epochs': 25}, 'data_config': {'train_path': '../data/ml-100k/u1.base', 'test_path': '../data/ml-100k/u1.test'}}
------------------------------------------
user_embeddings.weight: 188600 B
item_embeddings.weight: 330000 B
------------------------------------------
Total trainable parameters: 0.4946 MB 
Epoch 1/25,	 Train Loss: 2.596971557044983,	 Eval Loss: 2.7130857410903175,	 RMSE: 1.6039208619357437
Epoch 2/25,	 Train Loss: 2.3383607564926145,	 Eval Loss: 2.435796319486234,	 RMSE: 1.5212985915231214
Epoch 3/25,	 Train Loss: 2.1919089654922486,	 Eval Loss: 2.2480749849694224,	 RMSE: 1.462738823025305
Epoch 4/25,	 Train Loss: 2.022000991821289,	 Eval Loss: 2.0748073860479237,	 RMSE: 1.4066917924479494
Epoch 5/25,	 Train Loss: 1.861281903362274,	 Eval Loss: 1.9192485386571183,	 RMSE: 1.3548241997966335
Epoch 6/25,	 Train Loss: 1.7281494864940643,	 Eval Loss: 1.7787042008802152,	 RMSE: 1.306125276247473
Epoch 7/25,	 Train Loss: 1.6033638599395752,	 Eval Loss: 1.6612666896737802,	 RMSE: 1.2639020176575566
Epoch 8/25,	 Train Loss: 1.4958994395256042,	 Eval Loss: 1.5654787247935043,	 RMSE: 1.2285022372438035
Epoch 9/25,	 Train Loss: 1.4004524422645568,	 Eval Loss: 1.491321215233483,	 RMSE: 1.2004637928756434
Epoch 10/25,	 Train Loss: 1.3362815649032593,	 Eval Loss: 1.437156549086586,	 RMSE: 1.1796580708829896
Epoch 11/25,	 Train Loss: 1.2687397930622102,	 Eval Loss: 1.3964622182587085,	 RMSE: 1.1639074439503392
Epoch 12/25,	 Train Loss: 1.2130163383007049,	 Eval Loss: 1.3696240059103066,	 RMSE: 1.1535095320158615
Epoch 13/25,	 Train Loss: 1.1685858996868133,	 Eval Loss: 1.3511460036896288,	 RMSE: 1.1462530011668735
Epoch 14/25,	 Train Loss: 1.1305327632427216,	 Eval Loss: 1.3394072331940403,	 RMSE: 1.1417569884726075
Epoch 15/25,	 Train Loss: 1.1076001820087433,	 Eval Loss: 1.3306571694608695,	 RMSE: 1.1383918762235854
Epoch 16/25,	 Train Loss: 1.0785585586547852,	 Eval Loss: 1.3257510538299244,	 RMSE: 1.1365869782061053
Epoch 17/25,	 Train Loss: 1.0574598236560822,	 Eval Loss: 1.3240332801501973,	 RMSE: 1.1361745030969124
Epoch 18/25,	 Train Loss: 1.0365796006679535,	 Eval Loss: 1.3226629621304644,	 RMSE: 1.1357718905818674
Epoch 19/25,	 Train Loss: 1.017114907360077,	 Eval Loss: 1.3241234914944195,	 RMSE: 1.1365595190796773
Epoch 20/25,	 Train Loss: 1.004757504606247,	 Eval Loss: 1.325701741174387,	 RMSE: 1.137397789744731
Epoch 21/25,	 Train Loss: 0.9911695250988006,	 Eval Loss: 1.3284418436285026,	 RMSE: 1.1387017619585837
Epoch 22/25,	 Train Loss: 0.9794616893768311,	 Eval Loss: 1.3300110789152761,	 RMSE: 1.1394450512477616
Epoch 23/25,	 Train Loss: 0.9754640935659409,	 Eval Loss: 1.3331136726342832,	 RMSE: 1.1408003702916132
Epoch 24/25,	 Train Loss: 0.9676004863262176,	 Eval Loss: 1.3352822291965303,	 RMSE: 1.1418592670125411
Epoch 25/25,	 Train Loss: 0.9594396978378296,	 Eval Loss: 1.3370825263638846,	 RMSE: 1.1426789210954316
Minimum RMSE:1.1357718905818674
