cuda
{'model_config': {'embedding_size': 50, 'hidden_layers': [100, 50], 'dropout_rate': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05}, 'training_config': {'batch_size': 64, 'num_epochs': 30}, 'data_config': {'train_path': '../data/ml-100k/u1.base', 'test_path': '../data/ml-100k/u1.test'}}
------------------------------------------
user_embeddings.weight: 184 MB
item_embeddings.weight: 322 MB
------------------------------------------
Total trainable parameters: 0.4946 MB 
Epoch 1/30,	 Train Loss: 1.3374403081893922,	 Eval Loss: 1.4222901688216212,	 RMSE: 1.180355319988282
Epoch 2/30,	 Train Loss: 1.0384229807376861,	 Eval Loss: 1.3692921386740078,	 RMSE: 1.1582180418566472
Epoch 3/30,	 Train Loss: 0.9834668593883514,	 Eval Loss: 1.3616287525469504,	 RMSE: 1.1547571038024171
Epoch 4/30,	 Train Loss: 0.9652136465311051,	 Eval Loss: 1.3590713836514532,	 RMSE: 1.1533822412750332
Epoch 5/30,	 Train Loss: 0.9539582259654998,	 Eval Loss: 1.3598733329163573,	 RMSE: 1.1534435697662537
Epoch 6/30,	 Train Loss: 0.951780071401596,	 Eval Loss: 1.3615054853808004,	 RMSE: 1.1539870368970486
Epoch 7/30,	 Train Loss: 0.9458735223293304,	 Eval Loss: 1.3617104887962341,	 RMSE: 1.1538899582787099
Epoch 8/30,	 Train Loss: 0.9401735509395599,	 Eval Loss: 1.3625520709604502,	 RMSE: 1.1541118103833299
Epoch 9/30,	 Train Loss: 0.9351791564464569,	 Eval Loss: 1.3612397476887932,	 RMSE: 1.153528831548978
Epoch 10/30,	 Train Loss: 0.9340230458259583,	 Eval Loss: 1.3612515495988888,	 RMSE: 1.1534162803081134
Epoch 11/30,	 Train Loss: 0.9274641085624695,	 Eval Loss: 1.3611652260771194,	 RMSE: 1.1532849489902977
Epoch 12/30,	 Train Loss: 0.9249343894004822,	 Eval Loss: 1.363532804262143,	 RMSE: 1.1541692440572906
Epoch 13/30,	 Train Loss: 0.9243545081615449,	 Eval Loss: 1.3630826357073678,	 RMSE: 1.1539090757900319
Epoch 14/30,	 Train Loss: 0.9223795379161834,	 Eval Loss: 1.3635943874764367,	 RMSE: 1.1541470010027992
Epoch 15/30,	 Train Loss: 0.9181781522274017,	 Eval Loss: 1.3644022031333118,	 RMSE: 1.1544356245950662
Epoch 16/30,	 Train Loss: 0.9145156318664551,	 Eval Loss: 1.3638520128429887,	 RMSE: 1.154236831181326
Epoch 17/30,	 Train Loss: 0.9112574547529221,	 Eval Loss: 1.3658139637103095,	 RMSE: 1.1550610697973613
Epoch 18/30,	 Train Loss: 0.9083825360298157,	 Eval Loss: 1.3668657937369788,	 RMSE: 1.1554755681440168
Epoch 19/30,	 Train Loss: 0.9048701640844345,	 Eval Loss: 1.3669054595807109,	 RMSE: 1.155446936836816
Epoch 20/30,	 Train Loss: 0.903751144361496,	 Eval Loss: 1.3668354555440787,	 RMSE: 1.155394893351593
Epoch 21/30,	 Train Loss: 0.9022803124904633,	 Eval Loss: 1.3661398464879289,	 RMSE: 1.1549955897065114
Epoch 22/30,	 Train Loss: 0.8984362263202668,	 Eval Loss: 1.3666856517426123,	 RMSE: 1.155283347631723
Epoch 23/30,	 Train Loss: 0.8946766108989715,	 Eval Loss: 1.3684057905651128,	 RMSE: 1.1560109073903633
Epoch 24/30,	 Train Loss: 0.8972588687181473,	 Eval Loss: 1.3671844632099992,	 RMSE: 1.1554815153302722
Epoch 25/30,	 Train Loss: 0.8912223294734954,	 Eval Loss: 1.3675458177971764,	 RMSE: 1.1556650780038604
Epoch 26/30,	 Train Loss: 0.891287654876709,	 Eval Loss: 1.3680265368744968,	 RMSE: 1.1558115809657454
Epoch 27/30,	 Train Loss: 0.8891582793712616,	 Eval Loss: 1.3678889426941307,	 RMSE: 1.1557295774605425
Epoch 28/30,	 Train Loss: 0.8900944004535675,	 Eval Loss: 1.3671989360937296,	 RMSE: 1.1553728524451623
Epoch 29/30,	 Train Loss: 0.8868571039915085,	 Eval Loss: 1.3657617647046099,	 RMSE: 1.1546908654786923
Epoch 30/30,	 Train Loss: 0.8800373934030533,	 Eval Loss: 1.3672391048635537,	 RMSE: 1.155274152846117
Minimum RMSE:1.1532849489902977
