cuda
{'model_config': {'embedding_size': 128, 'hidden_layers': [100, 50], 'dropout_rate': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05}, 'training_config': {'batch_size': 64, 'num_epochs': 30}, 'data_config': {'train_path': '../data/ml-100k/u1.base', 'test_path': '../data/ml-100k/u1.test'}}
------------------------------------------
user_embeddings.weight: 0.46044921875 MB
item_embeddings.weight: 0.8056640625 MB
------------------------------------------
Total trainable parameters: 1.2661 MB 
Epoch 1/30,	 Train Loss: 1.2448278787136078,	 Eval Loss: 1.3812036683765083,	 RMSE: 1.1632486343143844
Epoch 2/30,	 Train Loss: 0.9839386407852173,	 Eval Loss: 1.3596760209756917,	 RMSE: 1.1539590560508086
Epoch 3/30,	 Train Loss: 0.9478065379858017,	 Eval Loss: 1.3568938467830134,	 RMSE: 1.1523326893104648
Epoch 4/30,	 Train Loss: 0.9325475845336914,	 Eval Loss: 1.3576996233135747,	 RMSE: 1.1522716931901993
Epoch 5/30,	 Train Loss: 0.9209796770572662,	 Eval Loss: 1.3564310342359085,	 RMSE: 1.151502904228049
Epoch 6/30,	 Train Loss: 0.909971950674057,	 Eval Loss: 1.356659206529014,	 RMSE: 1.1514499206401474
Epoch 7/30,	 Train Loss: 0.9007278759479522,	 Eval Loss: 1.3567580388376888,	 RMSE: 1.1512875494163635
Epoch 8/30,	 Train Loss: 0.8923786484718322,	 Eval Loss: 1.3542239486980743,	 RMSE: 1.1500619716889475
Epoch 9/30,	 Train Loss: 0.882150222158432,	 Eval Loss: 1.3543194589523462,	 RMSE: 1.1500070425882571
Epoch 10/30,	 Train Loss: 0.8721133793115616,	 Eval Loss: 1.353819570221459,	 RMSE: 1.1497367875418048
Epoch 11/30,	 Train Loss: 0.8668608204126358,	 Eval Loss: 1.3535105515592776,	 RMSE: 1.149514027721037
Epoch 12/30,	 Train Loss: 0.8599825687885284,	 Eval Loss: 1.3540761280364502,	 RMSE: 1.1496943482435222
Epoch 13/30,	 Train Loss: 0.8492676258325577,	 Eval Loss: 1.3535307104976033,	 RMSE: 1.1493905347702131
Epoch 14/30,	 Train Loss: 0.8454236132383347,	 Eval Loss: 1.3537652572503867,	 RMSE: 1.1494285605355283
Epoch 15/30,	 Train Loss: 0.8385483539581299,	 Eval Loss: 1.355974094936261,	 RMSE: 1.1502925273836109
Epoch 16/30,	 Train Loss: 0.8353951453447342,	 Eval Loss: 1.3553427971970922,	 RMSE: 1.150020767328319
Epoch 17/30,	 Train Loss: 0.8282653175354003,	 Eval Loss: 1.3552516744540521,	 RMSE: 1.149912508401572
Epoch 18/30,	 Train Loss: 0.8258068313837051,	 Eval Loss: 1.3540225470789706,	 RMSE: 1.1493128073048866
Epoch 19/30,	 Train Loss: 0.8212353765249253,	 Eval Loss: 1.354317215113594,	 RMSE: 1.1494605194251832
Epoch 20/30,	 Train Loss: 0.8157300729513168,	 Eval Loss: 1.3547876913326617,	 RMSE: 1.1496813582802743
