Device:cuda
{'model_config': {'embedding_size': 128, 'hidden_layers': [100, 50], 'dropout_rate': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05}, 'training_config': {'batch_size': 64, 'num_epochs': 30}, 'data_config': {'train_path': '../data/ml-100k/u1.base', 'test_path': '../data/ml-100k/u1.test'}}
------------------------------------------
user_embeddings.weight: 0.46044921875 MB
item_embeddings.weight: 0.8056640625 MB
------------------------------------------
Total trainable parameters: 1.2661 MB 
Before training RMSE:1.2268427601486194
Epoch 1/30,	 Train Loss: 1.2436509357452392,	 Eval Loss: 1.3784360478099542,	 RMSE: 1.1620230568977699
Epoch 2/30,	 Train Loss: 0.9845305824279785,	 Eval Loss: 1.3586184643327999,	 RMSE: 1.1533662513361813
Epoch 3/30,	 Train Loss: 0.9485636448144913,	 Eval Loss: 1.3560176324158812,	 RMSE: 1.1518929577329338
Epoch 4/30,	 Train Loss: 0.9319329576969146,	 Eval Loss: 1.3546321805292807,	 RMSE: 1.150910496972557
Epoch 5/30,	 Train Loss: 0.9220621059417725,	 Eval Loss: 1.3558190792513352,	 RMSE: 1.15123601279815
Epoch 6/30,	 Train Loss: 0.9089137250423431,	 Eval Loss: 1.3546370538278891,	 RMSE: 1.1504191970460758
Epoch 7/30,	 Train Loss: 0.9032835743904114,	 Eval Loss: 1.3545224634222328,	 RMSE: 1.1502367729294833
Epoch 8/30,	 Train Loss: 0.8898947514772415,	 Eval Loss: 1.3559051437880665,	 RMSE: 1.150757785999576
Epoch 9/30,	 Train Loss: 0.8816159078836441,	 Eval Loss: 1.3559948773429797,	 RMSE: 1.1506843685696126
Epoch 10/30,	 Train Loss: 0.8723126473903656,	 Eval Loss: 1.3558640243908087,	 RMSE: 1.1504402776744151
Epoch 11/30,	 Train Loss: 0.8635429434537888,	 Eval Loss: 1.354114601787287,	 RMSE: 1.1496793129589906
Epoch 12/30,	 Train Loss: 0.8569563381195069,	 Eval Loss: 1.3548015586484354,	 RMSE: 1.1499312364815464
Epoch 13/30,	 Train Loss: 0.8517405700445175,	 Eval Loss: 1.3534552403532278,	 RMSE: 1.1493404547621435
Epoch 14/30,	 Train Loss: 0.8447884914159774,	 Eval Loss: 1.3526986730746187,	 RMSE: 1.1489294488549877
Epoch 15/30,	 Train Loss: 0.8400068252563476,	 Eval Loss: 1.3549701221073016,	 RMSE: 1.149819401988189
Epoch 16/30,	 Train Loss: 0.8332734568119049,	 Eval Loss: 1.3556066130677733,	 RMSE: 1.1500433283949836
Epoch 17/30,	 Train Loss: 0.8285341792106629,	 Eval Loss: 1.3552404817300863,	 RMSE: 1.1498926317865297
Epoch 18/30,	 Train Loss: 0.8252054075241089,	 Eval Loss: 1.3558743832210383,	 RMSE: 1.1501580953006234
Epoch 19/30,	 Train Loss: 0.821590704202652,	 Eval Loss: 1.3565418048026843,	 RMSE: 1.150361841709119
Epoch 20/30,	 Train Loss: 0.8158263409614563,	 Eval Loss: 1.3580291549237773,	 RMSE: 1.1509462582815626
Epoch 21/30,	 Train Loss: 0.815247867155075,	 Eval Loss: 1.3573292324337334,	 RMSE: 1.1507093188650839
Epoch 22/30,	 Train Loss: 0.8086918854236603,	 Eval Loss: 1.3576636459119023,	 RMSE: 1.1508511770659506
Epoch 23/30,	 Train Loss: 0.8086668471336365,	 Eval Loss: 1.3579476854671686,	 RMSE: 1.1509068337329194
Epoch 24/30,	 Train Loss: 0.8042532364845276,	 Eval Loss: 1.3570501021683787,	 RMSE: 1.150531234900186
Epoch 25/30,	 Train Loss: 0.8043263518810272,	 Eval Loss: 1.3581778974578784,	 RMSE: 1.151005409360438
Epoch 26/30,	 Train Loss: 0.8005819973230361,	 Eval Loss: 1.357329650808828,	 RMSE: 1.1506227077663087
Epoch 27/30,	 Train Loss: 0.7975418564796448,	 Eval Loss: 1.3582014711901023,	 RMSE: 1.1509805488708924
Epoch 28/30,	 Train Loss: 0.7927354235649109,	 Eval Loss: 1.359637717850292,	 RMSE: 1.1516096021900082
Epoch 29/30,	 Train Loss: 0.792713226723671,	 Eval Loss: 1.3589219519505487,	 RMSE: 1.1512023100313715
Epoch 30/30,	 Train Loss: 0.7919430183887481,	 Eval Loss: 1.360544054462506,	 RMSE: 1.1518874115576838
Minimum RMSE:1.1489294488549877
